transaction_id,name,account_number,location,timestamp,amount,transaction_type,merchant,is_fraud,behavior_profile
TXN00001,user_486,205612850762,Mumbai,2026-01-20 15:36:21.828311,459.98,debit,Swiggy,0,food_lover
TXN00002,user_486,205612850762,Mumbai,2025-12-21 18:33:21.828311,414.51,debit,Zomato,0,food_lover
TXN00003,user_486,205612850762,Mumbai,2026-03-12 02:49:21.828311,591.1,debit,Zomato,0,food_lover
TXN00004,user_486,205612850762,Mumbai,2026-01-15 15:56:21.828311,148.03,debit,Zomato,0,food_lover
TXN00005,user_486,205612850762,Mumbai,2025-12-17 19:55:21.828311,714.61,debit,Zomato,0,food_lover
TXN00006,user_486,205612850762,Mumbai,2026-02-16 06:36:21.828311,719.44,debit,Zomato,0,food_lover
TXN00007,user_486,205612850762,Mumbai,2026-02-23 04:08:21.828311,277.05,debit,Zomato,0,food_lover
TXN00008,user_486,205612850762,Mumbai,2026-01-11 08:17:21.828311,767.68,debit,Zomato,0,food_lover
TXN00009,user_486,205612850762,Mumbai,2026-01-08 07:52:21.828311,177.83,debit,Swiggy,0,food_lover
TXN00010,user_486,205612850762,Mumbai,2026-03-15 06:24:21.828311,416.56,debit,Zomato,0,food_lover
TXN00011,user_486,205612850762,Mumbai,2025-12-23 16:07:21.828311,720.98,debit,Swiggy,0,food_lover
TXN00012,user_486,205612850762,Mumbai,2025-12-20 01:42:21.828311,627.62,credit,Swiggy,0,food_lover
TXN00013,user_486,205612850762,Mumbai,2026-02-06 02:16:21.828311,349.53,debit,Swiggy,0,food_lover
TXN00014,user_486,205612850762,Mumbai,2026-03-08 12:18:21.828311,160.27,debit,Swiggy,0,food_lover
TXN00015,user_486,205612850762,Mumbai,2025-12-29 21:05:21.828311,351.84,debit,Swiggy,0,food_lover
TXN00016,user_486,205612850762,Mumbai,2026-03-09 15:20:21.828311,326.81,debit,Swiggy,0,food_lover
TXN00017,user_486,205612850762,Mumbai,2026-03-08 01:30:21.828311,667.96,debit,Swiggy,0,food_lover
TXN00018,user_486,205612850762,Mumbai,2026-03-09 04:03:21.828311,250.94,debit,Swiggy,0,food_lover
TXN00019,user_486,205612850762,Mumbai,2026-01-30 18:03:21.828311,659.2,debit,Swiggy,0,food_lover
TXN00020,user_486,205612850762,Mumbai,2026-04-09 18:01:21.828311,577.2,debit,Swiggy,0,food_lover
TXN00021,user_486,205612850762,Mumbai,2026-04-06 15:26:21.828311,808.97,debit,Zomato,0,food_lover
TXN00022,user_486,205612850762,Mumbai,2025-12-30 20:54:21.828311,479.71,debit,Swiggy,0,food_lover
TXN00023,user_486,205612850762,Mumbai,2026-04-08 10:01:21.828311,347.6,credit,Zomato,0,food_lover
TXN00024,user_486,205612850762,Mumbai,2026-01-14 12:06:21.828311,426.97,debit,Zomato,0,food_lover
TXN00025,user_486,205612850762,Mumbai,2026-03-04 03:48:21.828311,379.5,debit,Swiggy,0,food_lover
TXN00026,user_486,205612850762,Mumbai,2026-03-11 23:48:21.828311,811.73,debit,Swiggy,1,food_lover
TXN00027,user_486,205612850762,Mumbai,2026-03-17 16:03:21.828311,345.83,debit,Zomato,0,food_lover
TXN00028,user_486,205612850762,Mumbai,2026-04-01 02:32:21.828311,191.96,debit,Zomato,0,food_lover
TXN00029,user_486,205612850762,Mumbai,2026-03-12 14:58:21.828311,769.27,credit,Swiggy,0,food_lover
TXN00030,user_486,205612850762,Mumbai,2026-02-05 17:58:21.828311,691.12,credit,Zomato,0,food_lover
TXN00031,user_486,205612850762,Mumbai,2026-02-28 00:25:21.828311,647.24,debit,Swiggy,0,food_lover
TXN00032,user_486,205612850762,Mumbai,2026-02-06 13:16:21.828311,760.48,debit,Swiggy,0,food_lover
TXN00033,user_486,205612850762,Mumbai,2025-12-26 11:32:21.828311,619.52,credit,Swiggy,0,food_lover
TXN00034,user_486,205612850762,Mumbai,2026-01-31 12:55:21.828311,713.25,debit,Swiggy,0,food_lover
TXN00035,user_237,710404783484,Pune,2026-01-17 03:33:21.828311,237.7,debit,Grocery,0,low_spender
TXN00036,user_237,710404783484,Pune,2026-03-03 14:36:21.828311,134.86,debit,Local Shop,0,low_spender
TXN00037,user_237,710404783484,Pune,2026-02-08 02:13:21.828311,241.29,debit,Local Shop,0,low_spender
TXN00038,user_237,710404783484,Pune,2026-03-18 07:28:21.828311,213.97,debit,Local Shop,0,low_spender
TXN00039,user_237,710404783484,Pune,2025-12-18 18:20:21.828311,209.5,debit,Grocery,0,low_spender
TXN00040,user_237,710404783484,Pune,2026-01-07 02:38:21.828311,233.88,debit,Coffee,0,low_spender
TXN00041,user_237,710404783484,Pune,2026-01-17 20:13:21.828311,275.46,debit,Local Shop,0,low_spender
TXN00042,user_237,710404783484,Pune,2026-03-04 11:23:21.828311,77.14,debit,Coffee,0,low_spender
TXN00043,user_237,710404783484,Pune,2026-03-22 23:49:21.828311,266.77,debit,Coffee,0,low_spender
TXN00044,user_237,710404783484,Pune,2026-01-14 20:23:21.828311,207.81,credit,Local Shop,0,low_spender
TXN00045,user_237,710404783484,Pune,2026-01-20 12:29:21.828311,276.58,credit,Coffee,0,low_spender
TXN00046,user_237,710404783484,Pune,2026-03-28 05:56:21.828311,151.01,debit,Coffee,0,low_spender
TXN00047,user_237,710404783484,Pune,2026-03-14 08:16:21.828311,190.05,debit,Grocery,0,low_spender
TXN00048,user_237,710404783484,Pune,2026-02-24 16:36:21.828311,215.06,credit,Local Shop,0,low_spender
TXN00049,user_237,710404783484,Pune,2025-12-28 11:05:21.828311,152.27,debit,Coffee,0,low_spender
TXN00050,user_237,710404783484,Pune,2026-03-26 12:19:21.828311,245.3,debit,Grocery,0,low_spender
TXN00051,user_237,710404783484,Pune,2026-03-18 23:41:21.828311,136.37,debit,Grocery,0,low_spender
TXN00052,user_237,710404783484,Pune,2026-03-27 09:29:21.828311,137.1,credit,Coffee,0,low_spender
TXN00053,user_237,710404783484,Pune,2026-03-01 09:47:21.828311,93.15,debit,Grocery,0,low_spender
TXN00054,user_237,710404783484,Pune,2025-12-22 05:08:21.828311,116.94,debit,Local Shop,0,low_spender
TXN00055,user_237,710404783484,Pune,2026-01-07 04:56:21.828311,52.54,debit,Coffee,0,low_spender
TXN00056,user_237,710404783484,Pune,2025-12-20 16:32:21.828311,271.87,credit,Coffee,0,low_spender
TXN00057,user_237,710404783484,Pune,2026-01-20 12:53:21.828311,222.99,debit,Grocery,0,low_spender
TXN00058,user_237,710404783484,Pune,2026-02-25 13:37:21.828311,121.31,debit,Grocery,0,low_spender
TXN00059,user_237,710404783484,Pune,2026-01-30 19:37:21.828311,275.38,debit,Local Shop,0,low_spender
TXN00060,user_237,710404783484,Pune,2026-03-16 12:39:21.828311,58.3,debit,Local Shop,0,low_spender
TXN00061,user_237,710404783484,Pune,2026-02-27 15:53:21.828311,66.1,debit,Local Shop,0,low_spender
TXN00062,user_237,710404783484,Pune,2026-01-11 12:58:21.828311,105.38,debit,Local Shop,0,low_spender
TXN00063,user_237,710404783484,Pune,2025-12-29 23:50:21.828311,109.33,debit,Coffee,0,low_spender
TXN00064,user_237,710404783484,Pune,2026-03-26 09:31:21.828311,136.65,debit,Coffee,0,low_spender
TXN00065,user_024,228278755809,Indore,2025-12-31 11:17:21.828311,7187.38,debit,Amazon,0,high_spender
TXN00066,user_024,228278755809,Indore,2026-03-15 17:12:21.828311,26470.78,debit,Electronics,0,high_spender
TXN00067,user_024,228278755809,Indore,2025-12-17 22:34:21.828311,17594.73,debit,Amazon,0,high_spender
TXN00068,user_024,228278755809,Indore,2026-02-25 06:05:21.828311,8798.64,credit,Electronics,0,high_spender
TXN00069,user_024,228278755809,Indore,2026-03-06 18:54:21.828311,11166.89,debit,Electronics,0,high_spender
TXN00070,user_024,228278755809,Indore,2025-12-18 13:23:21.828311,23747.67,debit,Electronics,0,high_spender
TXN00071,user_024,228278755809,Indore,2026-01-22 01:38:21.828311,15230.56,credit,Electronics,0,high_spender
TXN00072,user_024,228278755809,Indore,2026-03-14 20:49:21.828311,14955.46,credit,Amazon,0,high_spender
TXN00073,user_024,228278755809,Indore,2026-04-10 06:27:21.828311,15034.32,debit,Electronics,0,high_spender
TXN00074,user_024,228278755809,Indore,2026-04-06 05:36:21.828311,11418.64,debit,Amazon,0,high_spender
TXN00075,user_024,228278755809,Indore,2026-02-11 18:25:21.828311,8667.29,debit,Electronics,0,high_spender
TXN00076,user_024,228278755809,Indore,2026-01-22 20:38:21.828311,11877.21,debit,Electronics,0,high_spender
TXN00077,user_024,228278755809,Indore,2026-03-04 14:07:21.828311,10833.66,debit,Amazon,0,high_spender
TXN00078,user_024,228278755809,Indore,2026-02-02 08:11:21.828311,27931.9,debit,Amazon,0,high_spender
TXN00079,user_024,228278755809,Indore,2026-01-16 15:33:21.828311,13492.81,debit,Electronics,1,high_spender
TXN00080,user_024,228278755809,Indore,2026-01-09 06:29:21.828311,5627.42,debit,Amazon,0,high_spender
TXN00081,user_024,228278755809,Indore,2025-12-20 08:27:21.828311,16061.03,debit,Amazon,0,high_spender
TXN00082,user_024,228278755809,Indore,2026-02-03 01:37:21.828311,20062.23,credit,Amazon,0,high_spender
TXN00083,user_024,228278755809,Indore,2026-01-10 20:32:21.828311,6476.25,debit,Amazon,0,high_spender
TXN00084,user_024,228278755809,Indore,2026-02-04 20:13:21.828311,17993.85,debit,Amazon,0,high_spender
TXN00085,user_024,228278755809,Indore,2026-02-06 11:53:21.828311,27974.69,debit,Electronics,0,high_spender
TXN00086,user_024,228278755809,Indore,2026-01-22 02:24:21.828311,8053.85,debit,Electronics,0,high_spender
TXN00087,user_024,228278755809,Indore,2026-02-07 23:54:21.828311,5433.25,credit,Electronics,0,high_spender
TXN00088,user_024,228278755809,Indore,2026-03-24 07:09:21.828311,11460.02,debit,Amazon,0,high_spender
TXN00089,user_024,228278755809,Indore,2026-03-09 02:04:21.828311,26496.08,debit,Electronics,0,high_spender
TXN00090,user_254,725961544785,Bengaluru,2026-03-29 02:19:21.828311,466.42,credit,Zomato,0,food_lover
TXN00091,user_254,725961544785,Bengaluru,2026-04-02 06:58:21.828311,630.11,debit,Swiggy,0,food_lover
TXN00092,user_254,725961544785,Bengaluru,2026-01-19 20:21:21.828311,407.71,debit,Swiggy,0,food_lover
TXN00093,user_254,725961544785,Bengaluru,2026-04-03 22:05:21.828311,551.88,debit,Swiggy,0,food_lover
TXN00094,user_254,725961544785,Bengaluru,2026-04-03 11:17:21.828311,435.44,credit,Zomato,0,food_lover
TXN00095,user_254,725961544785,Bengaluru,2026-03-23 10:34:21.828311,729.75,debit,Swiggy,0,food_lover
TXN00096,user_254,725961544785,Bengaluru,2026-03-28 10:07:21.828311,532.74,debit,Zomato,0,food_lover
TXN00097,user_254,725961544785,Bengaluru,2026-04-08 18:55:21.828311,585.95,debit,Zomato,0,food_lover
TXN00098,user_254,725961544785,Bengaluru,2026-04-05 00:45:21.828311,244.9,debit,Zomato,0,food_lover
TXN00099,user_254,725961544785,Bengaluru,2026-02-07 09:33:21.828311,191.19,debit,Zomato,0,food_lover
TXN00100,user_254,725961544785,Bengaluru,2026-03-24 02:08:21.828311,701.63,debit,Zomato,0,food_lover
TXN00101,user_254,725961544785,Bengaluru,2025-12-24 13:59:21.828311,333.76,credit,Zomato,0,food_lover
TXN00102,user_254,725961544785,Bengaluru,2025-12-17 21:36:21.828311,820.0,debit,Zomato,0,food_lover
TXN00103,user_254,725961544785,Bengaluru,2025-12-16 15:02:21.828311,454.6,debit,Zomato,0,food_lover
TXN00104,user_254,725961544785,Bengaluru,2026-03-06 22:56:21.828311,829.49,debit,Swiggy,0,food_lover
TXN00105,user_254,725961544785,Bengaluru,2026-04-04 04:36:21.828311,151.03,debit,Swiggy,0,food_lover
TXN00106,user_254,725961544785,Bengaluru,2026-02-05 16:06:21.828311,172.31,credit,Zomato,0,food_lover
TXN00107,user_254,725961544785,Bengaluru,2026-04-11 14:00:21.828311,203.74,debit,Zomato,0,food_lover
TXN00108,user_254,725961544785,Bengaluru,2026-03-04 03:59:21.828311,387.59,credit,Zomato,0,food_lover
TXN00109,user_254,725961544785,Bengaluru,2026-01-17 08:24:21.828311,581.45,debit,Swiggy,0,food_lover
TXN00110,user_254,725961544785,Bengaluru,2026-03-22 04:45:21.828311,537.23,debit,Swiggy,0,food_lover
TXN00111,user_254,725961544785,Bengaluru,2025-12-26 13:28:21.828311,588.09,debit,Swiggy,0,food_lover
TXN00112,user_254,725961544785,Bengaluru,2026-03-01 08:07:21.828311,175.26,debit,Zomato,0,food_lover
TXN00113,user_254,725961544785,Bengaluru,2026-01-22 08:50:21.828311,589.11,debit,Zomato,0,food_lover
TXN00114,user_254,725961544785,Bengaluru,2026-03-31 02:30:21.828311,358.32,debit,Zomato,0,food_lover
TXN00115,user_254,725961544785,Bengaluru,2026-03-05 07:06:21.828311,644.72,debit,Swiggy,0,food_lover
TXN00116,user_254,725961544785,Bengaluru,2026-01-25 00:01:21.828311,654.87,debit,Zomato,0,food_lover
TXN00117,user_222,692691786775,Mumbai,2025-12-16 02:16:21.828311,709.7,debit,Swiggy,0,food_lover
TXN00118,user_222,692691786775,Mumbai,2026-03-09 05:14:21.828311,437.52,debit,Zomato,0,food_lover
